Date,IBOV
2007-06-20 00:00:00,54029.0
2007-06-21 00:00:00,54656.0
2007-06-22 00:00:00,54267.0
2007-06-25 00:00:00,54041.0
2007-06-26 00:00:00,53851.0
2007-06-27 00:00:00,54143.0
2007-06-29 00:00:00,54392.0
2007-07-02 00:00:00,55371.0
2007-07-03 00:00:00,55699.0
2007-07-04 00:00:00,55696.0
2007-07-05 00:00:00,55932.0
2007-07-06 00:00:00,56443.0
2007-08-06 00:00:00,53091.0
2007-08-07 00:00:00,53802.0
2007-08-08 00:00:00,55241.0
2007-08-09 00:00:00,53430.0
2007-08-10 00:00:00,52638.0
2007-08-13 00:00:00,52434.0
2007-08-14 00:00:00,50911.0
2007-08-15 00:00:00,49285.0
2007-08-17 00:00:00,48558.0
2007-08-20 00:00:00,49206.0
2007-08-21 00:00:00,49815.0
2007-08-22 00:00:00,51744.0
2007-08-23 00:00:00,51848.0
2007-08-24 00:00:00,52997.0
2007-08-27 00:00:00,53078.0
2007-08-28 00:00:00,51645.0
2007-08-29 00:00:00,52734.0
2007-08-30 00:00:00,52857.0
2007-09-04 00:00:00,54832.0
2007-09-07 00:00:00,54569.0
2007-09-12 00:00:00,53920.0
2007-09-13 00:00:00,53882.0
2007-09-14 00:00:00,54908.0
2007-09-19 00:00:00,56666.0
2007-09-20 00:00:00,57264.0
2007-09-21 00:00:00,56906.0
2007-09-24 00:00:00,58719.0
2007-09-26 00:00:00,58857.0
2007-09-27 00:00:00,59714.0
2007-09-28 00:00:00,61052.0
2007-10-03 00:00:00,62017.0
2007-10-04 00:00:00,60098.0
2007-10-05 00:00:00,60406.0
2007-10-09 00:00:00,62660.0
2007-10-10 00:00:00,63548.0
2007-10-11 00:00:00,63197.0
2007-10-12 00:00:00,62455.0
2007-10-16 00:00:00,62969.0
2007-10-18 00:00:00,63193.0
2007-10-19 00:00:00,63261.0
2007-10-23 00:00:00,61215.0
2007-10-24 00:00:00,62697.0
2007-10-25 00:00:00,62624.0
2007-10-26 00:00:00,62341.0
2007-10-30 00:00:00,65044.0
2007-10-31 00:00:00,64383.0
2007-11-01 00:00:00,65317.0
2007-11-02 00:00:00,64050.0
2007-11-06 00:00:00,62959.0
2007-11-08 00:00:00,63561.0
2007-11-09 00:00:00,64320.0
2007-11-16 00:00:00,64609.0
2007-11-19 00:00:00,62336.0
2007-11-21 00:00:00,60581.0
2007-11-22 00:00:00,60653.0
2007-11-23 00:00:00,60970.0
2007-11-30 00:00:00,63006.0
2007-12-04 00:00:00,63199.0
2007-12-07 00:00:00,65790.0
2007-12-11 00:00:00,64512.0
2007-12-12 00:00:00,64741.0
2007-12-13 00:00:00,62860.0
2007-12-14 00:00:00,62444.0
2007-12-17 00:00:00,59828.0
2007-12-19 00:00:00,61721.0
2007-12-20 00:00:00,61716.0
2007-12-27 00:00:00,63774.0
2008-01-03 00:00:00,62891.0
2008-01-04 00:00:00,61036.0
2008-01-07 00:00:00,60772.0
2008-01-09 00:00:00,62673.0
2008-01-10 00:00:00,63515.0
2008-01-11 00:00:00,61942.0
2008-01-14 00:00:00,62187.0
2008-01-15 00:00:00,59907.0
2008-01-16 00:00:00,58777.0
2008-01-17 00:00:00,57036.0
2008-01-18 00:00:00,57506.0
2008-01-21 00:00:00,53709.0
2008-01-22 00:00:00,56097.0
2008-01-23 00:00:00,54234.0
2008-01-24 00:00:00,57463.0
2008-01-28 00:00:00,58593.0
2008-01-29 00:00:00,59529.0
2008-01-30 00:00:00,60289.0
2008-01-31 00:00:00,59490.0
2008-02-01 00:00:00,61079.0
2008-02-06 00:00:00,58968.0
2008-02-07 00:00:00,58965.0
2008-02-08 00:00:00,59075.0
2008-02-11 00:00:00,60643.0
2008-02-12 00:00:00,61805.0
2008-02-13 00:00:00,62590.0
2008-02-14 00:00:00,61818.0
2008-02-15 00:00:00,61271.0
2008-02-18 00:00:00,62801.0
2008-02-19 00:00:00,62296.0
2008-02-20 00:00:00,63747.0
2008-02-22 00:00:00,64608.0
2008-02-25 00:00:00,65000.0
2008-02-26 00:00:00,65182.0
2008-02-27 00:00:00,65494.0
2008-02-28 00:00:00,65555.0
2008-02-29 00:00:00,63489.0
2008-03-03 00:00:00,64490.0
2008-03-04 00:00:00,63655.0
2008-03-05 00:00:00,64629.0
2008-03-06 00:00:00,62974.0
2008-03-07 00:00:00,61867.0
2008-03-10 00:00:00,59999.0
2008-03-11 00:00:00,62367.0
2008-03-12 00:00:00,62176.0
2008-03-13 00:00:00,62279.0
2008-03-17 00:00:00,60011.0
2008-03-19 00:00:00,58827.0
2008-03-20 00:00:00,58987.0
2008-03-24 00:00:00,59812.0
2008-03-25 00:00:00,61234.0
2008-03-26 00:00:00,61415.0
2008-03-27 00:00:00,60761.0
2008-03-28 00:00:00,60452.0
2008-03-31 00:00:00,60968.0
2008-04-01 00:00:00,62774.0
2008-04-02 00:00:00,63364.0
2008-04-03 00:00:00,64175.0
2008-04-08 00:00:00,64539.0
2008-04-09 00:00:00,63476.0
2008-04-11 00:00:00,62585.0
2008-04-14 00:00:00,62153.0
2008-04-16 00:00:00,64151.0
2008-04-17 00:00:00,64552.0
2008-04-18 00:00:00,64922.0
2008-04-22 00:00:00,65412.0
2008-04-24 00:00:00,64576.0
2008-04-25 00:00:00,65187.0
2008-04-28 00:00:00,65677.0
2008-04-29 00:00:00,63825.0
2008-04-30 00:00:00,67868.0
2008-05-05 00:00:00,70174.0
2008-05-06 00:00:00,70195.0
2008-05-07 00:00:00,69017.0
2008-05-08 00:00:00,69722.0
2008-05-09 00:00:00,69645.0
2008-05-13 00:00:00,70415.0
2008-05-14 00:00:00,70026.0
2008-05-16 00:00:00,72766.0
2008-05-19 00:00:00,73438.0
2008-05-21 00:00:00,72294.0
2008-05-23 00:00:00,71451.0
2008-05-27 00:00:00,70992.0
2008-05-29 00:00:00,73153.0
2008-06-02 00:00:00,72592.0
2008-06-03 00:00:00,71897.0
2008-06-04 00:00:00,70011.0
2008-06-05 00:00:00,68673.0
2008-06-06 00:00:00,71209.0
2008-06-09 00:00:00,69281.0
2008-06-11 00:00:00,66794.0
2008-06-13 00:00:00,67203.0
2008-06-16 00:00:00,67284.0
2008-06-17 00:00:00,68437.0
2008-06-18 00:00:00,67090.0
2008-06-19 00:00:00,66590.0
2008-06-20 00:00:00,64613.0
2008-06-23 00:00:00,64640.0
2008-06-24 00:00:00,64167.0
2008-06-25 00:00:00,65853.0
2008-06-26 00:00:00,63946.0
2008-06-27 00:00:00,64321.0
2008-06-30 00:00:00,65017.0
2008-07-01 00:00:00,63396.0
2008-07-02 00:00:00,61106.0
2008-07-03 00:00:00,59273.0
2008-07-04 00:00:00,59365.0
2008-07-08 00:00:00,59535.0
2008-07-11 00:00:00,60252.0
2008-07-15 00:00:00,60720.0
2008-07-16 00:00:00,61015.0
2008-07-18 00:00:00,59988.0
2008-07-21 00:00:00,60771.0
2008-07-22 00:00:00,59647.0
2008-07-23 00:00:00,59420.0
2008-07-24 00:00:00,57434.0
2008-07-28 00:00:00,56869.0
2008-07-29 00:00:00,58042.0
2008-07-30 00:00:00,59997.0
2008-07-31 00:00:00,59505.0
2008-08-01 00:00:00,57630.0
2008-08-04 00:00:00,55609.0
2008-08-05 00:00:00,56470.0
2008-08-06 00:00:00,57542.0
2008-08-08 00:00:00,56584.0
2008-08-11 00:00:00,54720.0
2008-08-13 00:00:00,54573.0
2008-08-14 00:00:00,55138.0
2008-08-15 00:00:00,54244.0
2008-08-18 00:00:00,53326.0
2008-08-20 00:00:00,55377.0
2008-08-21 00:00:00,55934.0
2008-08-22 00:00:00,55850.0
2008-08-25 00:00:00,54477.0
2008-08-26 00:00:00,54358.0
2008-08-27 00:00:00,55519.0
2008-08-28 00:00:00,56382.0
2008-08-29 00:00:00,55680.0
2008-09-01 00:00:00,55162.0
2008-09-02 00:00:00,54404.0
2008-09-03 00:00:00,53527.0
2008-09-04 00:00:00,51408.0
2008-09-05 00:00:00,51939.0
2008-09-08 00:00:00,50717.0
2008-09-09 00:00:00,48435.0
2008-09-11 00:00:00,51270.0
2008-09-12 00:00:00,52392.0
2008-09-15 00:00:00,48416.0
